id,title,filtered_words,label
R129,New Report on Election,"[situation, single, site., involve, step, economic, easy, subject, number, majority, should., main, toward, future., experts, discuss, ongoing, developments, election.]",REAL
R227,New Report on Climate Change,"[bad, news, section, office., little, teach, use, sure, end, plant., congress, color, toward, staff, speech, big, reflect., experts, discuss, ongoing, developments, climate, change.]",REAL
F231,Aliens Confirmed by Sources,"[follow, special, common, stuff., item, government, box, would., training, miss, might, pull, artist, card, main, risk., food, wait, hear, sort, threat, spring., —, shocking, claims, aliens, surface, internet.]",FAKE
R066,New Report on Policy,"[teach, ground, those., stay, yard, fund, media, table, late., experts, discuss, ongoing, developments, policy.]",REAL
F095,Mind Control Confirmed by Sources,"[sea, hit, true, everybody, personal., wife, government, try, fill, stop, agreement, miss., —, shocking, claims, mind, control, surface, internet.]",FAKE
R174,New Report on Policy,"[ever, suffer, long, read, quite., beat, end, general, turn, quickly., experts, discuss, ongoing, developments, policy.]",REAL
R201,New Report on Public Health,"[exist, order, dark, surface, draw., news, identify, democratic, activity, financial, left., experts, discuss, ongoing, developments, public, health.]",REAL
R072,New Report on Education,"[threat, visit, campaign, attention., prepare, mention, happen, guess., school, fill, put, grow, two., experts, discuss, ongoing, developments, education.]",REAL
R064,New Report on Research,"[dinner, much, ok, suddenly., community, church, trouble, middle, edge, office, art., cultural, environment, town, relate, adult, magazine., experts, discuss, ongoing, developments, research.]",REAL
F037,Miracle Drug Confirmed by Sources,"[real, opportunity, kitchen, test., system, direction, necessary, imagine, color., —, shocking, claims, miracle, drug, surface, internet.]",FAKE
R170,New Report on Technology Breakthrough,"[material, share, majority, knowledge, democrat., international, back, try, director, real, simply, member., experts, discuss, ongoing, developments, technology, breakthrough.]",REAL
F110,Celebrity Scandal Confirmed by Sources,"[close, wait, parent, open., evening, firm, early., minute, laugh, production., party, film, manager, front, network, center, reach., —, shocking, claims, celebrity, scandal, surface, internet.]",FAKE
F048,Secret Cure Confirmed by Sources,"[stay, yeah, often, mind., whatever, computer, alone, leave, person, imagine., —, shocking, claims, secret, cure, surface, internet.]",FAKE
F082,Hoax Confirmed by Sources,"[similar, base, allow, hundred, western, prove, individual., control, rich, despite, participant., —, shocking, claims, hoax, surface, internet.]",FAKE
F187,Miracle Drug Confirmed by Sources,"[sea, memory, organization, us, answer, responsibility, community, cost., edge, community, two, fish, stuff., door, forget, serve., —, shocking, claims, miracle, drug, surface, internet.]",FAKE
F027,Miracle Drug Confirmed by Sources,"[run, evening, political, return, already, every., sense, better, second, language., mouth, letter, human, maybe, deep., —, shocking, claims, miracle, drug, surface, internet.]",FAKE
F202,Hoax Confirmed by Sources,"[week, visit, business, onto, interesting, nor., —, shocking, claims, hoax, surface, internet.]",FAKE
F197,Secret Cure Confirmed by Sources,"[open, campaign, tell, able, character, system, at., —, shocking, claims, secret, cure, surface, internet.]",FAKE
R128,New Report on Climate Change,"[strong, quickly, risk, my., write, hit, something, service, friend, lead., prevent, skill, time, believe., nature, benefit, decade, modern, month, television, loss., experts, discuss, ongoing, developments, climate, change.]",REAL
F157,Government Cover-Up Confirmed by Sources,"[maintain, oil, soon, sort, piece., child, old, include, new, better., —, shocking, claims, government, cover-up, surface, internet.]",FAKE
F117,Hoax Confirmed by Sources,"[actually, fight, tax, speak, interview., difference, experience, stop, everybody., benefit, certainly, office, along, big., —, shocking, claims, hoax, surface, internet.]",FAKE
F173,Secret Cure Confirmed by Sources,"[east, manager, yes, claim., black, never, wind, opportunity, plan, clear., course, medical, book, data, investment., —, shocking, claims, secret, cure, surface, internet.]",FAKE
F024,Aliens Confirmed by Sources,"[security, wife, table, image., long, east, name, son, pick, exist., —, shocking, claims, aliens, surface, internet.]",FAKE
F096,Celebrity Scandal Confirmed by Sources,"[third, standard, ball, ready, cultural, thousand., owner, consumer, protect, argue., easy, blood, style., —, shocking, claims, celebrity, scandal, surface, internet.]",FAKE
