id,filtered_words,features,label_index
R129,"[situation, single, site., involve, step, economic, easy, subject, number, majority, should., main, toward, future., experts, discuss, ongoing, developments, election.]","(10000,[320,760,1558,1637,3136,3194,3556,3614,4506,4648,4687,6271,7889,8519,8547,8655,9144,9244,9462],[4.019381523748645,3.5085558999826545,3.6516567436233283,3.8187108282864943,4.42484663185681,4.019381523748645,2.8844015909096608,0.6871770135734415,0.691153161953081,4.607168188650764,0.691153161953081,3.5085558999826545,4.830311739964974,4.42484663185681,5.523458920524919,4.42484663185681,2.579019941358479,4.270695952029551,0.691153161953081])",1.0
R227,"[bad, news, section, office., little, teach, use, sure, end, plant., congress, color, toward, staff, speech, big, reflect., experts, discuss, ongoing, developments, climate, change.]","(10000,[453,502,821,1590,1821,2059,2433,3048,3194,3614,4506,4687,5133,6224,6968,7178,7765,7956,8522,8634,8728,9462,9832],[4.42484663185681,4.607168188650764,2.849310271098391,4.42484663185681,5.117993812416755,2.6902455764687034,4.137164559405029,4.830311739964974,4.019381523748645,0.6871770135734415,0.691153161953081,0.691153161953081,4.830311739964974,3.7316994512968646,4.270695952029551,4.607168188650764,4.830311739964974,5.117993812416755,3.914021008090819,4.270695952029551,3.6516567436233283,0.691153161953081,4.137164559405029])",1.0
F231,"[follow, special, common, stuff., item, government, box, would., training, miss, might, pull, artist, card, main, risk., food, wait, hear, sort, threat, spring., —, shocking, claims, aliens, surface, internet.]","(10000,[503,650,1055,1071,1410,1637,1916,2144,2259,2825,3924,4842,5477,5720,5850,6332,6597,6711,7281,7538,7922,7936,8070,8338,8653,8931,9183,9367],[0.691153161953081,2.958509563063383,4.42484663185681,4.607168188650764,5.117993812416755,3.8187108282864943,4.42484663185681,4.137164559405029,2.6902455764687034,4.830311739964974,4.137164559405029,4.019381523748645,4.42484663185681,4.137164559405029,0.691153161953081,4.137164559405029,4.42484663185681,5.117993812416755,0.6714286566053024,4.607168188650764,3.914021008090819,0.691153161953081,4.019381523748645,0.691153161953081,3.7316994512968646,4.270695952029551,5.117993812416755,4.607168188650764])",0.0
R066,"[teach, ground, those., stay, yard, fund, media, table, late., experts, discuss, ongoing, developments, policy.]","(10000,[424,433,1209,1657,3614,3931,4506,4638,4687,6151,6487,6944,8522,9462],[4.270695952029551,3.914021008090819,4.42484663185681,5.523458920524919,0.6871770135734415,3.6516567436233283,0.691153161953081,4.270695952029551,0.691153161953081,4.607168188650764,3.7316994512968646,2.7508701982851385,3.914021008090819,0.691153161953081])",1.0
F095,"[sea, hit, true, everybody, personal., wife, government, try, fill, stop, agreement, miss., —, shocking, claims, mind, control, surface, internet.]","(10000,[503,796,1208,2259,2561,3021,3184,4404,4693,5850,6961,7188,7281,7936,8252,8338,8413,9617,9727],[0.691153161953081,3.8187108282864943,2.7200985396183848,2.6902455764687034,4.42484663185681,4.607168188650764,2.849310271098391,5.117993812416755,3.914021008090819,0.691153161953081,4.830311739964974,4.270695952029551,0.6714286566053024,0.691153161953081,3.8187108282864943,0.691153161953081,3.577548771469606,3.914021008090819,4.607168188650764])",0.0
R174,"[ever, suffer, long, read, quite., beat, end, general, turn, quickly., experts, discuss, ongoing, developments, policy.]","(10000,[453,2569,3614,3818,3886,4506,4687,5465,5594,6135,6944,7650,8878,8904,9462],[4.42484663185681,3.577548771469606,0.6871770135734415,4.830311739964974,3.914021008090819,0.691153161953081,0.691153161953081,3.7316994512968646,4.42484663185681,4.137164559405029,2.7508701982851385,5.117993812416755,4.607168188650764,4.137164559405029,0.691153161953081])",1.0
R201,"[exist, order, dark, surface, draw., news, identify, democratic, activity, financial, left., experts, discuss, ongoing, developments, public, health.]","(10000,[697,1226,1770,2433,3614,3759,3967,4506,4687,5134,5606,6219,6602,7281,7407,8110,9462],[4.019381523748645,4.137164559405029,2.920769235080536,4.137164559405029,0.6871770135734415,5.117993812416755,4.019381523748645,0.691153161953081,0.691153161953081,5.117993812416755,4.42484663185681,3.125563647726549,4.270695952029551,0.6714286566053024,4.42484663185681,3.914021008090819,0.691153161953081])",1.0
R072,"[threat, visit, campaign, attention., prepare, mention, happen, guess., school, fill, put, grow, two., experts, discuss, ongoing, developments, education.]","(10000,[141,698,2286,2404,2679,2907,3614,4506,4687,4704,5047,6675,7255,8070,8203,8871,9462,9727],[4.42484663185681,4.019381523748645,3.914021008090819,4.019381523748645,4.270695952029551,4.42484663185681,0.6871770135734415,0.691153161953081,0.691153161953081,3.914021008090819,2.6902455764687034,4.137164559405029,4.830311739964974,4.019381523748645,4.42484663185681,4.42484663185681,0.691153161953081,4.607168188650764])",1.0
R064,"[dinner, much, ok, suddenly., community, church, trouble, middle, edge, office, art., cultural, environment, town, relate, adult, magazine., experts, discuss, ongoing, developments, research.]","(10000,[72,524,988,1273,2041,2240,2407,2419,2645,2909,3614,3921,4043,4506,4687,4715,7066,8174,8344,9233,9462,9878],[3.8187108282864943,3.8187108282864943,4.137164559405029,3.7316994512968646,4.42484663185681,4.019381523748645,4.019381523748645,5.523458920524919,3.914021008090819,5.117993812416755,0.6871770135734415,3.7316994512968646,3.7316994512968646,0.691153161953081,0.691153161953081,4.270695952029551,2.8844015909096608,5.117993812416755,4.270695952029551,3.8187108282864943,0.691153161953081,4.607168188650764])",1.0
F037,"[real, opportunity, kitchen, test., system, direction, necessary, imagine, color., —, shocking, claims, miracle, drug, surface, internet.]","(10000,[503,756,1256,2494,3996,5301,5850,6976,7281,7860,7936,7979,8338,8554,8960,9691],[0.691153161953081,3.7316994512968646,3.125563647726549,5.117993812416755,4.019381523748645,4.607168188650764,0.691153161953081,3.914021008090819,0.6714286566053024,2.849310271098391,0.691153161953081,4.137164559405029,0.691153161953081,3.8187108282864943,5.117993812416755,4.270695952029551])",0.0
