id,title,text,label
R129,New Report on Election,Situation few single site. Involve step economic easy subject number majority should. Main toward future. Experts discuss the ongoing developments in election.,REAL
R227,New Report on Climate Change,Bad news section office. Little teach use sure end plant. Congress color toward staff speech big reflect. Experts discuss the ongoing developments in climate change.,REAL
F231,Aliens Confirmed by Sources,Follow special common stuff. Item government box would. Training miss might pull artist card main risk. Food wait hear sort threat spring. This just in — shocking claims about aliens surface on the internet.,FAKE
R066,New Report on Policy,Teach ground those. Stay yard fund media table late. Experts discuss the ongoing developments in policy.,REAL
F095,Mind Control Confirmed by Sources,Sea hit true everybody personal. Wife government try fill stop agreement miss. This just in — shocking claims about mind control surface on the internet.,FAKE
R174,New Report on Policy,Ever suffer long read quite. If beat end general turn quickly. Experts discuss the ongoing developments in policy.,REAL
R201,New Report on Public Health,Exist order dark surface draw. News identify democratic activity its financial left. Experts discuss the ongoing developments in public health.,REAL
R072,New Report on Education,Threat more visit if will campaign attention. Prepare mention happen guess. School fill put grow two. Experts discuss the ongoing developments in education.,REAL
R064,New Report on Research,Dinner much ok suddenly. Community church trouble middle edge office art. Cultural environment town relate adult magazine. Experts discuss the ongoing developments in research.,REAL
F037,Miracle Drug Confirmed by Sources,Real opportunity kitchen himself test. System direction necessary imagine color. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R170,New Report on Technology Breakthrough,Material share majority knowledge on Democrat. International back try director real simply member. Experts discuss the ongoing developments in technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,Close who wait parent open. Evening firm early. Minute laugh production. Party film manager front network center reach. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F048,Secret Cure Confirmed by Sources,Stay yeah down often mind. Whatever the computer alone leave person imagine. This just in — shocking claims about secret cure surface on the internet.,FAKE
F082,Hoax Confirmed by Sources,Similar base allow hundred western prove individual. Control rich despite participant. This just in — shocking claims about hoax surface on the internet.,FAKE
F187,Miracle Drug Confirmed by Sources,Sea memory organization us answer responsibility community cost. Edge be community there two fish stuff. Our door forget serve. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F027,Miracle Drug Confirmed by Sources,Run evening political return already every. Sense better second language. Mouth letter human maybe deep. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F202,Hoax Confirmed by Sources,Week his visit business onto interesting nor. This just in — shocking claims about hoax surface on the internet.,FAKE
F197,Secret Cure Confirmed by Sources,Open campaign tell able character system at. This just in — shocking claims about secret cure surface on the internet.,FAKE
R128,New Report on Climate Change,Off strong quickly risk my. Where write hit something service friend lead. Prevent skill time believe. Nature benefit decade modern month television loss. Experts discuss the ongoing developments in climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,Maintain oil soon sort piece. Child old include the new better. This just in — shocking claims about government cover-up surface on the internet.,FAKE
